business_id,business_name,star,state,categories,review_count
3JrdnGYWUzUzepplmi7HlA,Sweet Mama's Restaurant,4.0,FL,"American (New), Diners, American (Traditional), Breakfast & Brunch, Restaurants, Comfort Food, Desserts, Food, Burgers",341
XbB45YpsaI2qg2s3qBfYyg,Antica Pizzeria & mozzarella Bar,4.5,FL,"Restaurants, Wine Bars, Bars, Italian, Pizza, Nightlife",180
Mw9Locfp_Qc_T_QDyLR3cQ,Roque Pub,4.5,FL,"Restaurants, American (New), Sandwiches, Bars, Food, Nightlife, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Pubs",143
mCByT6Z8sXeXbHNqJ3k-oA,1000 Degrees Neapolitan Pizzeria,2.5,FL,"Restaurants, Pizza",86
7yuDSUvO2mICCrj36GVxtw,Hungry Howie's Pizza & Subs,1.5,FL,"Italian, Chicken Wings, Restaurants, Pizza",22
_mJEEcIYYhM3bE5ubIqe9Q,The Hangry Bison,4.0,FL,"American (New), Nightlife, Restaurants, Burgers, Bars, Cocktail Bars",327
d3uHwiajWXVApH65sGKRiw,Chinatown,2.5,FL,"Chinese, Restaurants",14
JiL9S0RXX2HeLB3Nm6cEzw,Ni Hao,3.5,FL,"Chinese, Restaurants, Food",17
08xNWFnK7VoMjjQSEqd2Qw,Ming Dragon Express,4.0,FL,"Japanese, Sushi Bars, Chinese, Restaurants",66
oHr9tukmRsmG0H0Jo-6obg,Ryan's Village Pizza & Pub,3.5,FL,"Pubs, Bars, Nightlife, Restaurants, Pizza",68
7rn7i2hdfiGX1lWobZJXBQ,Red Lobster,3.5,FL,"Seafood, Restaurants, American (Traditional)",95
eDqlv7ssRSjgGZl25L6Zag,Marlow's Tavern,4.0,FL,"Burgers, Restaurants, Gastropubs, American (New)",108
3SUhbtzb49gJX9jvitGSFQ,Starring Rolls Cafe,3.5,FL,"Sandwiches, Cafes, Restaurants",47
mLSsh3ufAvCsZjY9KoAbdQ,Maddey's Craft & Cru,4.5,FL,"Restaurants, American (New), Pizza",19
N8o5skUduHpr4QGFcAp8AQ,El primo-La Casa De Las Alcapurrias,4.0,FL,"Latin American, Restaurants, Puerto Rican, Caribbean",28
1eyv_Nm2KHOmGGb7je21Ug,Fuzzy's Taco Shop,3.5,FL,"Sandwiches, Restaurants, Tex-Mex, Breakfast & Brunch, Mexican",170
QdzRS1s0tSltIokm2xV-kA,Border Grill Fresh-Mex,4.5,FL,"Latin American, Mexican, Restaurants, Tex-Mex",1203
EUe1bX5VtvlPn1YvFk3lzQ,Mangino's Bistro,3.5,FL,"Restaurants, Italian",34
Lg7aBaURc2MiAhM4ZJldvQ,Westgate Lakes Resort and Spa,2.0,FL,"Food, Hotels & Travel, Restaurants, Resorts, Barbeque, Smokehouse, Event Planning & Services, Hotels, Beauty & Spas, Vacation Rentals, Day Spas",616
_pqPht0BqDsU3Fcla_s7iw,Al Bacio,4.5,FL,"Restaurants, Breakfast & Brunch, Italian",100
VlxRS-4T9a2OCbUX8NnEhw,MedellÃ­n Burger,4.5,FL,"Colombian, Burgers, Latin American, Restaurants",54
I7atR1yTJMOgSoZLXLtCWA,Golden Dynasty,3.0,FL,"Pakistani, Chinese, Event Planning & Services, Restaurants, Indian, Halal, Caterers",102
p7TMPVrhCxG2Bi4HzZbqcQ,Churrascaria Brazilian Steakhouse,3.5,FL,"Restaurants, Brazilian",12
3cLBtLFiH8IRdlEy9S8RiQ,Sofrito Latin Cafe,4.5,FL,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",1609
r-syazuWM6eXXaHjo9tCbg,Twisted Tap Bar and Grill,3.5,FL,"Restaurants, Beer, Wine & Spirits, American (Traditional), Food, Bars, Gastropubs, Nightlife",44
c8Bg0v5Z9mqXd-CEgl6Qmw,Jimmy John's,3.0,FL,"Fast Food, Food Delivery Services, Food, Restaurants, Sandwiches, Delis",58
4HiYQ84s7Mqy7iY8vp9_xA,Tortas El Rey,4.5,FL,"Latin American, Mexican, Tacos, Restaurants, Sandwiches",218
7sqLQ1RlYJURUXriOK1paA,Lime Fresh Mexican Grill,4.0,FL,"Restaurants, Mexican",40
0FCJQvT_yPdSXZ_xvj-SeA,McDonald's,2.0,FL,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",14
ZRDVnQ-HsyYmuccAEM-sRQ,The Pizza Press,4.5,FL,"Pizza, Restaurants, Bars, Food, Beer Bar, Salad, Nightlife, Ice Cream & Frozen Yogurt",178
BkbqFtF0rK2DS9c5GsOA_w,Boston Lobster Feast,3.0,FL,"Restaurants, Seafood",303
vKYHls5FMw5Syjgkf9tiRQ,Chili's,2.5,FL,"Bars, Restaurants, American (Traditional), Tex-Mex, Nightlife",68
12CqiOV1GVOO_OknEgUJ9A,Cedar Halal Food & Grill,4.5,FL,"Mediterranean, Halal, Delis, Restaurants",91
TEQU64oOGKqH3xf8jRURkA,Cavallari Gourmet,4.5,FL,"Delis, Butcher, Restaurants, Grocery, Food",20
g8xNmvkwK6TuPvbbLwgSoQ,Dexter's Lake Mary,3.5,FL,"American (New), Wine Bars, Bars, Breakfast & Brunch, Nightlife, American (Traditional), Restaurants",232
NoCee3aqgKgfQcwsXZjAEA,Thai Sweet Rice,3.5,FL,"Restaurants, Thai",101
gKKcXhKh3fid3Ep7qeT7GQ,Makis Place Lake Nona,4.0,FL,"Fish & Chips, Restaurants, Japanese, Sushi Bars",28
IpkEeLd4ZYSQAM-GlTA3cA,Neopolitan Pizza,4.0,FL,"Pizza, Italian, Restaurants",71
EHMQZYxpntWQ4jO5bxMYRg,Irish 31,4.0,FL,"Irish, Irish Pub, Nightlife, Bars, American (Traditional), Restaurants",43
HUEZLPIM64cDZnfHE1H3AA,Pizza Hut,3.5,FL,"Chicken Wings, Italian, Restaurants, Pizza",59
DdKSrl5LHtgXJ_-imoW4xg,Gatorville Poolside Bar & Grill,3.0,FL,"Bars, Nightlife, American (New), Restaurants",17
DeqeZjU9NgybUuILO94XVQ,Mark's Jamaican Bar & Grill,4.5,FL,"Caribbean, Nightlife, Sports Bars, Beer Bar, Bars, Restaurants",173
0wNcDsriJbOkIM_YRcUGPg,An Tobar Irish Pub,3.0,FL,"Irish Pub, Bars, Restaurants, Nightlife, Irish, Pubs",77
Q17PG6Xz-tKh5upMgqJ-tw,Redbrick Pizza Cafe,3.0,FL,"Pizza, Restaurants, Food, Italian",12
i90jeBl_lLHzzuDLsxWJEA,Luke's Kitchen and Bar,4.0,FL,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers",335
RdC6xqYSLcU2850O___4YQ,Sushi Yummy,3.0,FL,"Restaurants, Conveyor Belt Sushi, Beer, Wine & Spirits, Sushi Bars, Food, Japanese",35
1f3nUSyFFLw6KMa3H-KAcQ,Tao Garden,3.0,FL,"Chinese, Restaurants",16
jl5g7cKaSVTd3lduOpjIgQ,Latin Fork Arepas Bistro,4.0,FL,"Empanadas, Restaurants, Latin American, Venezuelan, Fast Food, Food",49
cq9ZFLXhecPK21zA475i1w,Logan's Roadhouse,3.0,FL,"Barbeque, Restaurants, Steakhouses, Bars, Nightlife, American (Traditional)",53
WRjqCn4OqSpvsqvpUeoKIA,Fuddruckers,3.5,FL,"Burgers, American (Traditional), Restaurants",214
uN9CD8lVN6dBmfUOfEKvBA,Sideshow,3.5,FL,"Nightlife, Music Venues, American (New), Beer, Wine & Spirits, Bars, Restaurants, Sports Bars, Arts & Entertainment, Food",78
252DlOgnPandEneK1vykGA,Popeyes Louisiana Kitchen,1.5,FL,"Chicken Wings, Chicken Shop, Comfort Food, Restaurants, Fast Food",54
r6wu3WxmcIUMu4v1BhnBHQ,LaSpada's,4.0,FL,"Burgers, American (New), Restaurants, Cheesesteaks, Sandwiches",221
DJjeZa1e6t3vrUr-biIWvQ,Mr K's Chinese Cuisine & Sushi,4.0,FL,"Sushi Bars, Chinese, Restaurants",132
MVqv-Wgn772O5fqvgZy83A,Galeria,4.0,FL,"Seafood, Restaurants, Steakhouses, American (New), Bars, Nightlife, Wine Bars",54
SHtFiXm6Z4874JplFsJVAw,Middle East Market & Deli,3.5,FL,"Grocery, Greek, International Grocery, Middle Eastern, Delis, Food, Restaurants, Beverage Store, Mediterranean",63
vC3J4WfPJRLi3JqePLcFjA,Akasaka,3.5,FL,"Japanese, Sushi Bars, Restaurants",314
TvHDbqCFjZYUVDWD2OWNlA,Jimmy Hula's,4.0,FL,"Sandwiches, Restaurants, American (Traditional), Mexican, American (New), Hawaiian",164
xUenWwHWkXozdAzI-qmW1w,Woody's Bar-B-Q,2.5,FL,"Barbeque, Restaurants, Southern, Nightlife, Bars",27
Qbg8A8xvm-v8qb4Dt1a3nA,Pita Pit,4.0,FL,"Mediterranean, Restaurants",12
3_FEKPQLogDrzzSZLb7WyA,Gator's Dockside,3.0,FL,"Restaurants, Seafood",72
TwDFqBELCEu1B8fpIFa3nQ,Kobe Japanese Steakhouse - Lake Buena Vista,4.0,FL,"Japanese, Steakhouses, Restaurants, Sushi Bars, Bars, Nightlife, Wine Bars",380
sExm1BJDj9Ug0A5T_4GksA,Korean American Fusion,4.5,FL,"Restaurants, Korean, Asian Fusion",57
-sa6gC7KSvIBVCKkzz_tpA,Marriott's Grande Pines Golf Club,3.5,FL,"Active Life, Restaurants, Golf, American (Traditional)",12
C4zr280r3ZvSpHrlNvzIyg,Pammie's Sammies,4.0,FL,"Wine Bars, Caterers, Event Planning & Services, Restaurants, Bars, Nightlife, Food, Sandwiches, Desserts, Salad",59
OTqUbo5LfSJXULw742jPJw,Olde Dixie Fried Chicken,3.5,FL,"Restaurants, American (Traditional)",55
HiWtZgPBWPsbM43cSSeshw,Zoes Kitchen,4.0,FL,"Mediterranean, Kebab, Middle Eastern, Restaurants, Sandwiches, Greek",136
U9lrX8Nviajz-74dF6zL7g,SeaWorld Orlando,3.5,FL,"Amusement Parks, Active Life, Performing Arts, Restaurants, Buffets, Arts & Entertainment, Aquariums",1082
upKSwz63uKXB7TJ3DHeEOQ,Southern Smoked Fish & Ribs,4.5,FL,"Restaurants, Barbeque",18
Z0-cwY-rfWKwX_P2TR5xkQ,Einstein Bros,2.5,FL,"Bagels, Restaurants, Food",29
WZKfwf7eQ5cfqDpEiyOiDg,The Melting Pot,4.0,FL,"Fondue, French, Restaurants, Salad, Modern European",140
L0DY_tvx7chQerVmeIJcWQ,New China King,3.0,FL,"Restaurants, Chinese",21
t5EgwRXG6MZSihdqugOSKg,Hollerbach's Willow Tree Cafe,4.5,FL,"Restaurants, Sandwiches, Nightlife, Breakfast & Brunch, German, Beer, Wine & Spirits, Food, Beer Gardens, Desserts, Bars",991
XWp7dwUDSlYKkuLcK77UsQ,Five Guys,4.0,FL,"Fast Food, Burgers, Restaurants, American (New)",27
j6nfEPcgnXEMgeA_5zmAxQ,The Moat Sports Grille,3.0,FL,"Bars, Sports Bars, Burgers, Nightlife, Restaurants, Steakhouses",31
Qydynzc1ApxsSkVNEgPs9A,Miller's Ale House - Orlando,3.5,FL,"Burgers, Sports Bars, Restaurants, Nightlife, Bars, Seafood, American (Traditional), American (New)",535
a2wu56bFsXE_NpI8KQ59jQ,Delmonico's Italian Steakhouse,4.0,FL,"Restaurants, Steakhouses, Italian",91
4PxNdgzNgSWLnATvRSS_DQ,Mel's Drive-In,2.5,FL,"Active Life, Diners, Amusement Parks, Restaurants",134
7NghWhrjo88o7S5SBx41Sg,Keke's Breakfast Cafe,4.0,FL,"Restaurants, Breakfast & Brunch",253
_O6mrCDxC4akSV2STNqbNA,4 Rivers Smokehouse,4.0,FL,"Barbeque, Smokehouse, Salad, Restaurants, Southern, Food, Bakeries, Caterers, Sandwiches, Event Planning & Services, Desserts",259
LrE5Rqg4pBRwgDfk3toOAw,Numero Uno Restaurant,3.5,FL,"Cuban, Restaurants",143
oxIkw2xgu9MkhzKntav0cQ,Venezuelan Burger,4.0,FL,"Restaurants, Latin American, Food, Venezuelan, Food Trucks, Burgers",91
DbXHNl890xSXNiyRczLWAg,Orlando Meats,4.5,FL,"Butcher, Brazilian, Argentine, Restaurants, Sandwiches, American (New), Specialty Food, Food, Breakfast & Brunch, Meat Shops",187
WSbWWJxjyCK62H51yxNn0w,Fork In The Road,3.5,FL,"Food Trucks, Restaurants, Street Vendors, Sandwiches, Food, Burgers",20
NA7X-SiCZVO2INYdz2XX8Q,Sinha Brazilian Steak House,4.0,FL,"Brazilian, Steakhouses, Restaurants",176
WDjZ083I8gD0QSA3UfM-Ug,Diromio's Pizza & Grill,3.0,FL,"American (Traditional), Restaurants, Italian, Caterers, Pizza, Salad, Food Delivery Services, Event Planning & Services, Food",109
CJyHQ4ydOXEPZRFGSIUbpQ,Cafe Rouge Bistro,3.0,FL,"Restaurants, British, French",14
MPgXswKyNopTNNhzOf5Gng,Wingstop,3.0,FL,"Chicken Wings, Restaurants",33
1DqH1jYITwUvlVut_YBApg,Chipotle Mexican Grill,3.0,FL,"Fast Food, Mexican, Restaurants, Vegan",81
Co5fyfHUzACP9lOTWEArjA,Big Brunos Bites,4.5,FL,"Food Stands, Restaurants",19
I9gNfcHOlkwUnd5Q00TbuA,Dairy Queen Grill & Chill,3.0,FL,"Fast Food, Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt",21
eQg0A3D5aLBy_rQgsRBhmg,Yakitori House,3.0,FL,"Fast Food, Restaurants, Japanese",22
MiJkIvEWe2RR5N4YBZ4WGA,Pizza Ponte,3.5,FL,"Pizza, Restaurants, Italian, Sandwiches",92
9CUdYtLyfpYeF5S3HbgysA,Abhiruchi Indian Cuisine,3.0,FL,"Food, Indian, Restaurants",24
pHNvRjxSntENdQ3o2yq_VA,Frutta Bowls,4.0,FL,"Juice Bars & Smoothies, Acai Bowls, Food, Restaurants, Breakfast & Brunch",60
grYs6eZRJnQFts_6lZfSpw,Pizza Hut,2.5,FL,"Pizza, Italian, Chicken Wings, Restaurants",13
nafswvhlSOsdja_vuzpRpQ,Verde Cantina,3.0,FL,"Burgers, Mexican, Restaurants, Cocktail Bars, Bars, Nightlife",73
72lsAGEma0YI8t-OCdHxCQ,Uno Pizzeria & Grill,3.5,FL,"Beer, Wine & Spirits, American (Traditional), Pizza, Food, American (New), Gluten-Free, Restaurants",399
QtGin9X4yvnRyyWHX0Shdw,Papa Murphy's,4.0,FL,"Food, Do-It-Yourself Food, Restaurants, Pizza",24
lMW4Uhl6SeAWTFza5mb5xg,Boston Market,3.0,FL,"Restaurants, Caterers, Event Planning & Services, Comfort Food, American (Traditional), Chicken Shop, Sandwiches",19
DiRIdYhGyuTNZurKyuWf7A,Bosphorous Turkish Cuisine,4.0,FL,"Middle Eastern, Bars, Restaurants, Turkish, Hookah Bars, Nightlife",912
L2IzOuFLdbGzi0P5wjyhmg,Silvano's Ristorante Italiano,3.5,FL,"Restaurants, Italian",14
neYslCKmOIZMfrY0aqs-lg,La China,3.5,FL,"Chinese, Restaurants",38
Q22S515ZglI55re8lEhMZw,Amber Indian Restaurant,4.5,FL,"Coffee & Tea, Indian, Restaurants, Seafood, Food, Vegetarian, Soup, Halal",28
iHmBoyZEWsJfryywZmrB8A,Ichiban Buffet,3.0,FL,"Chinese, Restaurants, Japanese, Szechuan, Seafood, Buffets",419
96RSYhKtJXU70XmKuhtHeQ,LA Boiling Seafood Crab & Crawfish,4.0,FL,"Restaurants, Cajun/Creole, Sandwiches, Seafood",354
zg9p8ZBFmEUCtfcBHNvzvg,City Diner,3.5,FL,"Restaurants, Coffee & Tea, Diners, Food, Breakfast & Brunch, American (Traditional)",78
CGM2xjTNp4DsJTE6x7uQvQ,Thunder Falls Terrace,3.5,FL,"Barbeque, Restaurants, Cafes, Chicken Wings",50
9R4uQYuIEj6YgkYxnAYX5w,Regal Eagle Smokehouse,4.0,FL,"Restaurants, Barbeque",17
HJUU_J5qAJRVzGW6wNkmAA,Thaitanic Sushi,3.5,FL,"Sushi Bars, Thai, Restaurants",17
CcSwOuC87DRw6ncTkmuYKQ,Holy Grain Coffee Shop,4.5,FL,"Sandwiches, Restaurants, Food, Coffee & Tea, Salad, Juice Bars & Smoothies",131
_65vAipdOm0-Qr9yN0FDug,Panera Bread,3.5,FL,"Salad, Soup, Bagels, Breakfast & Brunch, Food, Sandwiches, Restaurants",43
MNGeGjU6ptV-eBN8iWdENw,Arepera La Nueva,4.0,FL,"Breakfast & Brunch, Empanadas, Food, Latin American, Restaurants",112
AhYrutNLVhMDPIWHLUeJNg,Barnie's Coffee & Tea,4.0,FL,"Coffee & Tea, Restaurants, Food",21
oRVLhCe6pVcDfDgS9g3_cA,Ruth's Chris Steak House,4.0,FL,"Steakhouses, Restaurants, Seafood, Nightlife, Bars, Wine Bars, American (Traditional)",240
Z2TdACcFP8j3EHSq3wqvAg,California Tortilla,3.5,FL,"Salad, Mexican, Desserts, Barbeque, Food, Restaurants",47
T4vxfz8QR6WeXxM0M1NLrA,Moe's Southwest Grill,2.5,FL,"Restaurants, Tex-Mex, Mexican",48
C59j9sTddsKNw-Y2z327EA,FlapJack Johnny's,3.0,FL,"Restaurants, American (New), Breakfast & Brunch, Sandwiches",36
rU_L6h3jZRn2qBkMfoYkjg,Greek Flame Taverna,4.0,FL,"Greek, Restaurants",78
nGfl3yi7hwjrVso3wzG0wg,NYPD Pizza,3.0,FL,"Pizza, Restaurants",71
GN_GGYz_q6B6xIYauaJwJQ,Burger King,2.0,FL,"Hot Dogs, Burgers, Restaurants, Chinese, Fast Food",22
2Ih7fRtYfpGIpGLL0pvBPA,Wako Taco Lake Mary,4.0,FL,"Restaurants, New Mexican Cuisine",11
nkN8g-WX1dtE0Zi3e0PHOA,El Bodegon Tapas & Wine,3.5,FL,"Tapas Bars, Wine Bars, Spanish, Bars, Basque, Restaurants, Seafood, Nightlife",182
uBw1ATFbNu4IEjelsT5MEg,Spoleto Italian Kitchen,4.0,FL,"Restaurants, Specialty Food, Food, Pasta Shops, Italian, Salad, Sandwiches",154
t3Zdkt6q--Hxd560rFi5-A,Twistee Treat - Celebration,4.0,FL,"Desserts, Food, Ice Cream & Frozen Yogurt, Hot Dogs, Restaurants, Juice Bars & Smoothies",56
JFzLiI-UPjQWqh72HBFbYw,Shakai Sushi Lounge,4.0,FL,"Japanese, American (Traditional), Restaurants, Nightlife, Sushi Bars, Bars, Lounges",180
q5vqWsT1EeRJjJrAAgI-lw,Barnie's Coffee,4.5,FL,"Restaurants, Coffee & Tea, Breakfast & Brunch, Food",17
NRm317BkaSO8L-10jeCNdA,Pie Five Pizza Co,4.0,FL,"Pizza, Restaurants",25
t8UxhlFeHfLpD3Gz8Hh-3Q,El Buzo Restaurant,4.0,FL,"Restaurants, Seafood, Peruvian, Latin American",106
4DeyQyV5FozNt7E7JYcKIA,Applebee's Grill + Bar,2.5,FL,"Nightlife, Restaurants, Burgers, Sports Bars, American (Traditional), Bars, Steakhouses",97
pUktn8MAJMffeYnbGbkA8Q,AristoCrÃªpes,3.5,FL,"Creperies, Restaurants",36
suhuYUxAzeR_VBm0MNycNg,The Ramen,4.0,FL,"Ramen, Japanese, Restaurants",92
D320XoWLX8GbN4Hh7mqflA,Boba Babes,4.0,FL,"Restaurants, Desserts, Waffles, Bubble Tea, Cafes, Food, Coffee & Tea",20
Ob7B_nWzMj1sFMsd8G2H5w,Tabla,3.5,FL,"Indian, Restaurants, Thai, Event Planning & Services, Pakistani, Nightlife, Caterers, Bars, Chinese, Lounges",112
jcEEwywzjNJWPv2SSya-Ew,Cafe Italiano Italian Restaurant,2.5,FL,"Pizza, Restaurants, Italian",14
gwDU5cFo_pcmZCP8fezUig,Macondo,2.5,FL,"Restaurants, Music Venues, Caribbean, Spanish, Arts & Entertainment, Bars, Latin American, Nightlife, Colombian",19
0W8O8ORRST4KM44UvTG8fg,Tropical Smoothie Cafe,4.0,FL,"Food, Juice Bars & Smoothies, Restaurants, Sandwiches, Breakfast & Brunch, Salad",34
LIoouWv6qRegv7iQfSSqrw,4th Street Bar & Grill,3.5,FL,"American (New), Burgers, Restaurants, Sandwiches",179
BY-mON_811cJlrgjyOK6rg,World of Beer,4.0,FL,"Nightlife, Bars, Food, Gastropubs, Beer, Wine & Spirits, Pubs, Sports Bars, American (Traditional), Restaurants, Local Flavor",241
Wa9rpEPpWkEZWkeHbMs-hg,Rolando's Cuban Restaurant,4.0,FL,"Restaurants, Cuban",60
K0TEUg-mlpd3PjlH76ting,Tasty Lemon - Acai Bowl & Juice Bar,4.5,FL,"Acai Bowls, Waffles, Juice Bars & Smoothies, Specialty Food, Brazilian, Restaurants, Puerto Rican, Food, Desserts, Food Stands, Health Markets, Cafes, Caribbean, Nutritionists, Health & Medical",30
TdCpU1NkE6aVWAdTzuhZ0g,The Smoothie Room,4.5,FL,"Vegetarian, Juice Bars & Smoothies, Tea Rooms, Live/Raw Food, Food, Restaurants, Vegan, Acai Bowls",106
xLgBZ_rTJ8QnpsqQwphtEQ,Shilohs Steak & Seafood,3.5,FL,"Steakhouses, Seafood, Restaurants",281
_OQFFggmR0P33DnmHHNTDg,Trattoria del Porto,3.0,FL,"Diners, Italian, American (New), Restaurants, Breakfast & Brunch",53
bCIN9NsPG8-yb_Wf-N8M6Q,Duke's Brewhouse St. Cloud,3.0,FL,"Restaurants, Soup, Sports Bars, Chicken Wings, Nightlife, Bars",56
G1_eRH_fu7VKu87hZFF4jw,Fusion Bistro Sushi & Sake,3.0,FL,"Restaurants, Sushi Bars",53
XyHi4f6pNZSD2HPdYRS0Uw,Ray's Fish & Chips,4.0,FL,"Seafood, Sushi Bars, British, Restaurants, Fish & Chips",188
etWIpxCrssa4td5lNwrcdQ,Napoli Italian Pizzeria,3.5,FL,"Italian, Restaurants, Pizza, Sandwiches, Chicken Wings, Salad",85
pF4GK7XGWssaSXwSgVY8lw,Tasty Wok,4.0,FL,"Restaurants, Soup, Noodles, Chinese, Cantonese, Barbeque",490
QOqAIFe10zrBFrJtwSKnOg,Island Gecko Grill,4.5,FL,"Cafes, Breakfast & Brunch, Salad, Diners, Sandwiches, Restaurants",24
ufZddj_Wo51i7WKGKORl_g,Proccolino's Ristorante & Pizzeria,3.5,FL,"Italian, Pizza, Restaurants, Salad",98
